2022-07-14 23:59:26+00:00,1547732535815221249,,🪴Grow With Me🪴,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:59:26+00:00,1547732533671972867,Not where you are,Alias,"b'RT @BBCRosAtkins: In the middle of everything else going on last week, Boris Johnson told MPs he met Russian oligarch and ex-KGB officer Al\xe2\x80\xa6'"
2022-07-14 23:59:23+00:00,1547732520891912196,"Georgia and Florida, USA",Woya,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:59:22+00:00,1547732516882092035,The great continent of Europe,PresumingAnd 🇪🇺🇺🇦#FBPE,b'RT @DanielaNadj: The fact that all Tory candidates are so awful is an indictment of how far to the right Boris Johnson has taken the party.\xe2\x80\xa6'
2022-07-14 23:59:18+00:00,1547732502596292610,"Gravesend, South East",Charlie McNeilly 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺 💙NHS,"b'RT @MichaelRosenYes: Dear Mogg\nGiven that in the coming months I may be a little short on employment opportunities, I need to explore new h\xe2\x80\xa6'"
2022-07-14 23:59:18+00:00,1547732502558609413,RT does not mean agree.,SAH,b'RT @danwootton: Conservative MPs should listen to their party and realise there is no desire for Boris backstabber and high tax/big state F\xe2\x80\xa6'
2022-07-14 23:59:15+00:00,1547732490378289159,"High Bentham, England",Susan stapleton,b'RT @GpMedialtd: #bbcqt As ever Fiona Bruce desperate to support the Tory. Boot her out along with Boris. #ToriesUnfitToGovern'
2022-07-14 23:59:15+00:00,1547732489216479232,"Dublin,Ireland",william reilly 🇺🇦,b'RT @BBCRosAtkins: Last week Boris Johnson told MPs he met Russian oligarch and ex-KGB officer Alexander Lebedev without officials present.\xe2\x80\xa6'
2022-07-14 23:59:14+00:00,1547732482711117824,,Milagros Santiago,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:59:13+00:00,1547732482421772288,,Noonie,b'RT @JamesMelville: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 UK: Boris Johnson resigns\n\xf0\x9f\x87\xae\xf0\x9f\x87\xb9 Italy: Mario Draghi\xc2\xa0offers resignation\n\xf0\x9f\x87\xb1\xf0\x9f\x87\xb0 Sri Lanka: President Gotabaya Rajapaksa agrees\xe2\x80\xa6'
2022-07-14 23:59:13+00:00,1547732479603142656,"London, England (She/Her)",Nebby x,"b'RT @Memeulous: In light of recent events with Boris resigning, I would like to announce I am going to be running for prime minister. Here i\xe2\x80\xa6'"
2022-07-14 23:59:09+00:00,1547732463606149120,"Fife, Scotland",shirley young,"b'RT @annakerr_: These Boris defenders send me insane honestly. The man is an elitist crook, how can you possibly support him? HE DOESN\xe2\x80\x99T CAR\xe2\x80\xa6'"
2022-07-14 23:59:08+00:00,1547732460988874753,The South,Levon River,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:59:08+00:00,1547732460896538625,,Chris Cummings Ⓥ,"b'RT @PaulOnBooks: Given that Boris Johnson is happy to fly into the bosom of a KGB family without security or aides, perhaps we could save o\xe2\x80\xa6'"
2022-07-14 23:59:08+00:00,1547732458648453120,,SimonKrug,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:59:08+00:00,1547732458388369408,United Kingdom,Wali Nazar #TeamPatient💚 #TeamNHS. #PatientVlog,b'RT @MarieAnnUK: Fun Fact: Penny Mordaunt is every bit as much a notorious liar as Boris Johnson was before he became prime minister. #Pinno\xe2\x80\xa6'
2022-07-14 23:59:05+00:00,1547732447210512384,Brisbane,Gavin Miller,b'RT @supertanskiii: This is what a former advisor to Boris Johnson is saying on Fox News.\n\nThis is truly insane.\n\n https://t.co/HD3LV5ykI7'
2022-07-14 23:59:05+00:00,1547732445037883394,England,Blue Streak,b'RT @Scrappincaz929: DIRTY DOUGIE: Boris Johnson \xe2\x80\x98THREATENED\xe2\x80\x99 into resigning by Tory close to Rishi Sunak \xc2\xa0 https://t.co/czPN7dgQhB via @pol\xe2\x80\xa6'
